pl_name,hostname,disc_facility,pl_orbper,pl_rade,st_teff,st_rad,st_lum,st_mass
Kepler-1269 b,Kepler-1269,Kepler,37.3331536,1.63,5998.0,1.15,0.5557,1.1
Kepler-681 b,Kepler-681,Kepler,26.39435646,3.08,5021.0,0.76,-0.45672,0.8
TOI-4641 b,TOI-4641,Transiting Exoplanet Survey Satellite (TESS),22.09341,8.18255591,6560.0,1.72,0.69461,1.41
TOI-480 b,TOI-480,Transiting Exoplanet Survey Satellite (TESS),6.866196,2.85372018,6174.0,1.4877,0.46195,1.2793
Kepler-1315 b,Kepler-1315,Kepler,0.84338011,1.38,4861.0,0.75,-0.62783,0.8
Kepler-880 c,Kepler-880,Kepler,11.8061737,2.87,6900.0,2.599,0.66603,1.714
TOI-4602.01,TOI-4602,Transiting Exoplanet Survey Satellite (TESS),3.9812091,2.550449,6011.9,1.15664,0.19715,1.116795
TOI-270 b,TOI-270,Transiting Exoplanet Survey Satellite (TESS),3.35992,1.28,3506.0,0.38,-1.7122,0.386
TOI-836 b,TOI-836,Transiting Exoplanet Survey Satellite (TESS),3.81673,1.704,4552.0,0.665,-0.85276,0.678
Kepler-873 b,Kepler-873,Kepler,20.5533844,3.75,6163.0,1.27,0.13449,1.18
TOI-3837 b,TOI-3837,Transiting Exoplanet Survey Satellite (TESS),11.88865,10.87271128,5905.0,1.2,0.19618,0.89
Kepler-1297 b,Kepler-1297,Kepler,1.68189002,0.97,5818.0,0.99,0.30193,0.99
Kepler-80 f,Kepler-80,Kepler,0.9867873,1.21,4540.0,0.678,-0.76955,0.73
Kepler-113 c,Kepler-113,Kepler,8.92507,2.18,4725.0,0.69,-0.57598,0.75
TOI-3894 b,TOI-3894,Transiting Exoplanet Survey Satellite (TESS),4.33454,15.27784069,6000.0,1.502,0.41896,1.138
Kepler-1016 b,Kepler-1016,Kepler,1.954524342,2.18,5821.0,1.0,0.12363,0.99
GJ 3090 b,GJ 3090,Transiting Exoplanet Survey Satellite (TESS),2.8531054,2.13,3556.0,0.516,-1.34199,0.519
HD 235088 b,HD 235088,Transiting Exoplanet Survey Satellite (TESS),7.4341325,1.982,5075.0,0.772,-0.4437,0.849
HD 77946 b,HD 77946,Transiting Exoplanet Survey Satellite (TESS),6.527363,2.89646124,6007.0,1.3174,0.30878,1.1973
TOI-1136 d,TOI-1136,Transiting Exoplanet Survey Satellite (TESS),12.5199,4.627,5770.0,0.968,-0.02687,1.022
Kepler-1651 b,Kepler-1651,Kepler,9.87863917,1.84,3713.0,0.503,-1.368,0.522
Kepler-1354 b,Kepler-1354,Kepler,76.613377,2.97,6168.0,1.24,0.30208,1.16
Kepler-610 b,Kepler-610,Kepler,6.996926554,4.19,5943.0,1.13,-0.11034,1.1
